보리성        : 7.22
보리뚜        : 21.59
보리세이더      : 21.94
보리빵떡       : 20.21
보리템플러      : 7.64
보리술사       : 25.4
런처꾸꾸       : 21.72
보리꾸꾸       : 22.37
보리뚜뚜       : 23.68
소울뚜        : 23.14
보리뚜비       : 19.76
보리뚜킥       : 23.15
보리핏        : 22.81
베인뚜        : 21.16
보리커        : 19.54
보리파        : 23.83
윈드꾸꾸       : 18.99
무녀뚜        : 33.51
웨펀꾸꾸       : 26.68
서큐버뚜       : 28.62
보리심판관      : 24.26
