보리성        : 18.63
보리뚜        : 19.92
보리세이더      : 7.0
보리빵떡       : 7.23
보리템플러      : 14.32
런처꾸꾸       : 21.13
보리꾸꾸       : 22.86
보리뚜뚜       : 21.56
소울뚜        : 19.12
보리뚜비       : 20.73
보리뚜킥       : 22.44
보리핏        : 19.0
베인뚜        : 17.72
보리커        : 13.85
보리파        : 24.47
윈드꾸꾸       : 20.06
무녀뚜        : 33.69
웨펀꾸꾸       : 20.64
