보리성        : 0.74
보리뚜        : 0.55
보리세이더      : 0.51
베인뚜        : 0.51
보리빵떡       : 0.51
보리메이지      : 0.52
보리템플러      : 0.53
보리뚜뚜       : 0.52
무녀뚜        : 0.56
런처꾸꾸       : 0.53
보리술사       : 0.53
보리꾸꾸       : 0.53
보리뚜킥       : 0.53
건꾸꾸        : 0.53
보리핏        : 0.52
보리심판관      : 0.54
보리커        : 0.54
소울뚜        : 0.53
보리뚜비       : 0.54
보리파        : 0.52
웨펀꾸꾸       : 0.53
지짱보        : 0.51
서큐버뚜       : 0.51
보리닉        : 0.51
인챈뚜        : 0.52
윈드꾸꾸       : 0.51
