보리성        : 17.63
보리뚜        : 17.23
보리세이더      : 17.33
베인뚜        : 17.57
보리빵떡       : 17.9
보리템플러      : 17.89
보리뚜뚜       : 18.98
무녀뚜        : 20.6
런처꾸꾸       : 8.91
보리술사       : 19.28
보리꾸꾸       : 18.11
보리뚜킥       : 20.58
건꾸꾸        : 23.22
지짱보        : 20.49
보리핏        : 18.95
보리심판관      : 17.89
윈드꾸꾸       : 18.73
보리커        : 18.12
소울뚜        : 18.52
보리뚜비       : 17.94
보리파        : 18.69
웨펀꾸꾸       : 19.84
서큐버뚜       : 18.96
보리닉        : 24.7
인챈뚜        : 6.05
