보리성        : 8.4
보리뚜        : 21.46
보리세이더      : 20.91
보리빵떡       : 20.52
보리템플러      : 7.35
보리꾸꾸       : 12.61
보리뚜뚜       : 25.16
소울뚜        : 8.74
보리뚜비       : 19.29
보리뚜킥       : 27.5
보리핏        : 22.53
베인뚜        : 21.12
보리커        : 22.37
보리파        : 27.85
윈드꾸꾸       : 22.94
무녀뚜        : 36.99
웨펀꾸꾸       : 26.23
서큐버뚜       : 26.63
보리심판관      : 23.35
