보리뚜        : 16.78
보리세이더      : 18.75
베인뚜        : 16.79
보리빵떡       : 17.88
보리템플러      : 14.66
보리뚜뚜       : 15.86
무녀뚜        : 18.93
런처꾸꾸       : 7.32
보리술사       : 19.99
보리꾸꾸       : 19.12
보리뚜킥       : 20.47
건꾸꾸        : 21.5
지짱보        : 20.37
보리핏        : 18.4
보리심판관      : 19.3
윈드꾸꾸       : 22.81
보리커        : 19.16
소울뚜        : 18.63
