보리성        : 19.29
보리뚜        : 18.78
보리세이더      : 20.05
보리빵떡       : 18.26
보리템플러      : 18.71
보리뚜뚜       : 21.11
보리뚜킥       : 21.8
보리핏        : 19.46
보리커        : 19.54
윈드꾸꾸       : 20.02
보리파        : 24.49
런처꾸꾸       : 21.11
보리꾸꾸       : 19.9
보리술사       : 18.06
소울뚜        : 20.34
보리심판관      : 20.61
보리뚜비       : 18.84
웨펀꾸꾸       : 23.58
무녀뚜        : 25.46
서큐버뚜       : 21.76
보리닉        : 0.9
지짱보        : 0.99
건꾸꾸        : 0.99
