보리성        : 17.63
보리뚜        : 20.53
보리세이더      : 7.56
보리빵떡       : 6.77
보리템플러      : 19.72
보리술사       : 25.19
런처꾸꾸       : 21.86
보리꾸꾸       : 19.99
소울뚜        : 21.61
보리뚜비       : 21.03
보리뚜킥       : 24.11
보리핏        : 22.35
베인뚜        : 22.16
보리커        : 21.56
보리파        : 34.21
윈드꾸꾸       : 20.81
