보리성        : 19.53
보리뚜        : 20.0
보리세이더      : 20.8
보리빵떡       : 5.11
보리템플러      : 19.59
보리술사       : 24.85
런처꾸꾸       : 22.09
소울뚜        : 20.61
보리뚜뚜       : 21.7
보리꾸꾸       : 17.45
보리뚜킥       : 23.08
보리파        : 27.3
보리커        : 20.95
보리뚜비       : 22.48
웨펀꾸꾸       : 23.66
보리심판관      : 26.81
무녀뚜        : 33.78
