윈드꾸꾸       : 22.19
웨펀꾸꾸       : 22.63
서큐버뚜       : 22.93
보리심판관      : 21.64
보리술사       : 22.92
런처꾸꾸       : 8.78
보리꾸꾸       : 24.7
소울뚜        : 21.19
보리뚜비       : 22.34
보리뚜킥       : 23.83
보리핏        : 26.38
보리커        : 21.17
보리성        : 21.06
보리뚜        : 23.59
보리세이더      : 21.78
보리빵떡       : 14.59
보리템플러      : 23.73
무녀뚜        : 32.86
