윈드꾸꾸       : 18.3
보리파        : 22.58
웨펀꾸꾸       : 20.7
서큐버뚜       : 23.29
보리심판관      : 19.87
보리성        : 21.35
보리뚜        : 21.76
보리세이더      : 25.73
보리빵떡       : 21.09
보리템플러      : 8.07
보리술사       : 25.87
런처꾸꾸       : 22.81
보리꾸꾸       : 21.83
보리뚜뚜       : 7.78
소울뚜        : 22.73
베인뚜        : 1.82
보리뚜비       : 22.24
보리뚜킥       : 23.95
보리핏        : 25.61
보리커        : 21.91
무녀뚜        : 37.83
