보리성        : 9.15
보리뚜        : 7.48
보리세이더      : 9.22
보리빵떡       : 6.11
보리템플러      : 24.64
보리술사       : 24.72
런처꾸꾸       : 21.77
보리꾸꾸       : 20.2
보리뚜뚜       : 22.65
소울뚜        : 28.97
보리뚜비       : 32.42
보리뚜킥       : 23.04
베인뚜        : 27.43
보리커        : 20.89
보리파        : 29.04
윈드꾸꾸       : 6.83
무녀뚜        : 44.5
웨펀꾸꾸       : 34.83
서큐버뚜       : 28.08
보리심판관      : 25.2
