보리성        : 7.25
보리뚜        : 20.09
보리세이더      : 20.61
보리빵떡       : 21.14
보리템플러      : 7.56
보리술사       : 26.32
런처꾸꾸       : 22.53
보리꾸꾸       : 20.61
보리뚜뚜       : 22.76
소울뚜        : 21.65
보리뚜비       : 22.24
보리뚜킥       : 24.38
보리핏        : 21.63
베인뚜        : 12.72
보리커        : 20.95
보리파        : 21.24
무녀뚜        : 35.98
웨펀꾸꾸       : 35.22
서큐버뚜       : 26.5
보리심판관      : 25.6
