윈드꾸꾸       : 20.5
보리파        : 28.47
웨펀꾸꾸       : 22.43
서큐버뚜       : 25.67
보리심판관      : 24.77
보리술사       : 22.55
런처꾸꾸       : 21.43
보리꾸꾸       : 22.84
소울뚜        : 19.27
보리뚜비       : 21.81
보리뚜킥       : 20.37
보리핏        : 21.59
보리커        : 18.72
베인뚜        : 1.55
보리성        : 12.01
보리뚜        : 24.94
보리세이더      : 17.61
보리빵떡       : 17.77
보리템플러      : 18.04
보리뚜뚜       : 4.7
