보리성        : 7.21
보리뚜        : 19.44
보리세이더      : 7.02
보리빵떡       : 5.51
보리템플러      : 19.03
보리술사       : 7.43
런처꾸꾸       : 34.53
보리꾸꾸       : 11.65
보리뚜뚜       : 24.6
소울뚜        : 20.09
보리뚜비       : 23.0
보리뚜킥       : 24.06
보리핏        : 20.25
베인뚜        : 21.0
보리커        : 21.33
보리파        : 25.76
윈드꾸꾸       : 21.12
무녀뚜        : 36.05
웨펀꾸꾸       : 24.07
서큐버뚜       : 27.85
보리심판관      : 26.4
