보리성        : 5.88
보리뚜        : 22.61
보리세이더      : 7.07
보리빵떡       : 5.84
보리템플러      : 20.8
보리술사       : 21.9
런처꾸꾸       : 21.4
보리꾸꾸       : 22.35
보리뚜뚜       : 22.53
보리뚜비       : 20.03
보리뚜킥       : 22.18
보리핏        : 21.74
베인뚜        : 20.62
보리파        : 24.93
윈드꾸꾸       : 18.15
무녀뚜        : 36.19
웨펀꾸꾸       : 23.19
서큐버뚜       : 25.55
보리심판관      : 22.51
