보리성        : 17.49
보리뚜        : 17.62
보리세이더      : 18.54
베인뚜        : 16.69
보리빵떡       : 17.55
보리템플러      : 18.21
보리뚜뚜       : 18.35
무녀뚜        : 19.61
런처꾸꾸       : 19.67
보리술사       : 19.19
보리꾸꾸       : 17.58
보리뚜킥       : 20.29
건꾸꾸        : 21.82
지짱보        : 19.79
보리핏        : 18.71
보리심판관      : 19.21
윈드꾸꾸       : 20.11
보리커        : 18.54
소울뚜        : 19.04
보리뚜비       : 18.18
보리파        : 20.47
웨펀꾸꾸       : 21.48
서큐버뚜       : 18.67
보리닉        : 26.65
인챈뚜        : 26.32
