윈드꾸꾸       : 22.74
보리파        : 30.97
웨펀꾸꾸       : 26.09
서큐버뚜       : 25.76
보리심판관      : 23.62
보리성        : 22.32
보리뚜        : 21.67
보리세이더      : 22.65
보리빵떡       : 20.4
보리뚜뚜       : 9.5
보리술사       : 25.14
런처꾸꾸       : 30.91
보리꾸꾸       : 23.26
소울뚜        : 22.68
베인뚜        : 1.72
보리뚜비       : 28.98
보리뚜킥       : 24.49
보리핏        : 23.16
