보리성        : 7.26
보리뚜        : 21.73
보리세이더      : 21.69
보리빵떡       : 19.97
보리템플러      : 7.2
보리술사       : 25.86
런처꾸꾸       : 23.01
보리꾸꾸       : 21.59
보리뚜뚜       : 24.06
소울뚜        : 21.95
베인뚜        : 1.57
보리뚜비       : 20.79
보리뚜킥       : 22.95
보리핏        : 23.69
보리커        : 18.23
보리파        : 22.61
윈드꾸꾸       : 18.17
웨펀꾸꾸       : 20.86
무녀뚜        : 35.61
서큐버뚜       : 30.94
보리심판관      : 22.93
