윈드꾸꾸       : 19.63
보리파        : 23.16
웨펀꾸꾸       : 22.53
서큐버뚜       : 21.97
보리심판관      : 20.23
보리성        : 20.96
보리뚜        : 22.41
보리세이더      : 22.12
보리템플러      : 19.41
보리뚜뚜       : 7.47
보리술사       : 25.26
런처꾸꾸       : 22.75
보리꾸꾸       : 20.35
소울뚜        : 21.66
베인뚜        : 1.5
보리뚜비       : 21.95
보리뚜킥       : 22.91
보리핏        : 22.0
보리커        : 21.47
무녀뚜        : 31.79
