보리성        : 29.0
보리뚜        : 20.31
보리세이더      : 7.03
보리빵떡       : 6.57
보리템플러      : 22.12
런처꾸꾸       : 21.27
보리꾸꾸       : 19.22
보리뚜뚜       : 21.12
소울뚜        : 18.65
보리뚜비       : 20.58
보리뚜킥       : 24.97
보리핏        : 17.99
베인뚜        : 17.93
보리커        : 20.05
보리파        : 23.25
윈드꾸꾸       : 21.46
