보리성        : 18.09
보리세이더      : 17.75
베인뚜        : 16.55
보리빵떡       : 17.52
보리뚜뚜       : 11.55
무녀뚜        : 19.31
런처꾸꾸       : 17.86
보리술사       : 19.86
보리꾸꾸       : 17.2
보리뚜킥       : 19.51
건꾸꾸        : 23.93
지짱보        : 19.62
보리핏        : 19.14
보리심판관      : 18.29
윈드꾸꾸       : 19.57
보리커        : 15.83
소울뚜        : 18.4
보리뚜비       : 19.03
보리파        : 19.73
웨펀꾸꾸       : 21.36
서큐버뚜       : 18.83
보리닉        : 26.16
인챈뚜        : 8.21
