보리뚜        : 5.2
보리세이더      : 5.36
보리빵떡       : 4.89
보리템플러      : 5.05
보리뚜뚜       : 18.46
베인뚜        : 0.94
보리뚜킥       : 19.48
보리핏        : 17.21
보리커        : 17.08
윈드꾸꾸       : 8.86
보리파        : 22.69
런처꾸꾸       : 18.37
보리꾸꾸       : 17.29
보리술사       : 20.12
소울뚜        : 18.27
보리심판관      : 18.54
보리뚜비       : 16.88
웨펀꾸꾸       : 21.34
무녀뚜        : 22.69
서큐버뚜       : 19.45
보리닉        : 1.0
지짱보        : 1.07
건꾸꾸        : 1.09
