보리성        : 7.67
보리뚜        : 22.35
보리세이더      : 11.47
보리빵떡       : 21.26
보리템플러      : 7.74
보리술사       : 26.18
런처꾸꾸       : 23.67
보리꾸꾸       : 21.11
보리뚜뚜       : 23.26
소울뚜        : 22.89
보리뚜비       : 18.44
보리뚜킥       : 20.15
보리핏        : 18.75
베인뚜        : 18.44
보리커        : 22.49
보리파        : 27.7
윈드꾸꾸       : 23.0
무녀뚜        : 24.16
웨펀꾸꾸       : 10.89
서큐버뚜       : 25.39
보리심판관      : 22.33
