보리성        : 19.7
보리뚜        : 20.07
보리세이더      : 7.04
보리빵떡       : 6.61
보리템플러      : 19.78
보리뚜킥       : 21.75
보리핏        : 20.55
베인뚜        : 19.41
보리뚜비       : 21.77
보리술사       : 26.15
런처꾸꾸       : 22.38
보리꾸꾸       : 18.9
보리커        : 20.06
소울뚜        : 20.28
윈드꾸꾸       : 21.13
무녀뚜        : 36.37
보리뚜뚜       : 7.42
웨펀꾸꾸       : 24.1
서큐버뚜       : 26.23
