윈드꾸꾸       : 18.83
보리파        : 24.94
웨펀꾸꾸       : 21.19
서큐버뚜       : 20.58
보리심판관      : 23.66
보리술사       : 21.36
런처꾸꾸       : 20.14
보리꾸꾸       : 21.32
소울뚜        : 9.57
보리뚜비       : 21.9
보리뚜킥       : 24.88
보리핏        : 26.46
보리커        : 21.93
베인뚜        : 1.79
보리성        : 20.85
보리뚜        : 7.72
보리세이더      : 21.85
보리빵떡       : 19.55
보리템플러      : 21.8
