보리성        : 18.27
보리뚜        : 18.76
보리세이더      : 18.09
보리빵떡       : 17.09
보리템플러      : 18.59
보리뚜뚜       : 20.27
보리뚜킥       : 20.64
보리핏        : 19.83
보리커        : 18.7
윈드꾸꾸       : 19.09
보리파        : 25.17
런처꾸꾸       : 20.83
보리꾸꾸       : 18.77
보리술사       : 25.3
소울뚜        : 19.5
보리심판관      : 20.11
보리뚜비       : 19.03
웨펀꾸꾸       : 23.95
무녀뚜        : 26.13
서큐버뚜       : 20.69
보리닉        : 0.99
지짱보        : 1.06
건꾸꾸        : 1.08
