보리성        : 18.29
보리뚜        : 17.43
보리세이더      : 18.02
베인뚜        : 17.37
보리빵떡       : 17.66
보리템플러      : 18.17
보리뚜뚜       : 20.89
무녀뚜        : 19.64
런처꾸꾸       : 19.39
보리술사       : 20.54
보리꾸꾸       : 18.48
보리뚜킥       : 20.38
건꾸꾸        : 23.22
지짱보        : 21.79
보리핏        : 19.32
보리심판관      : 19.76
윈드꾸꾸       : 20.01
보리커        : 18.78
소울뚜        : 19.17
보리뚜비       : 18.96
웨펀꾸꾸       : 21.19
서큐버뚜       : 19.41
보리닉        : 27.63
인챈뚜        : 24.99
