보리성        : 1.13
보리뚜        : 1.06
보리세이더      : 1.09
베인뚜        : 1.07
보리빵떡       : 1.11
보리메이지      : 1.09
보리템플러      : 1.12
보리뚜뚜       : 1.11
무녀뚜        : 1.02
런처꾸꾸       : 1.11
보리술사       : 1.03
보리꾸꾸       : 1.14
보리뚜킥       : 1.02
건꾸꾸        : 1.11
보리핏        : 1.11
보리심판관      : 1.11
보리커        : 1.11
소울뚜        : 1.09
보리뚜비       : 1.09
보리파        : 1.09
웨펀꾸꾸       : 1.02
지짱보        : 1.11
