보리성        : 1.16
보리뚜        : 0.98
보리세이더      : 1.06
베인뚜        : 1.05
보리빵떡       : 1.11
보리메이지      : 1.09
보리템플러      : 1.09
보리뚜뚜       : 1.13
무녀뚜        : 1.09
런처꾸꾸       : 1.09
보리술사       : 1.0
보리꾸꾸       : 1.07
보리뚜킥       : 1.0
건꾸꾸        : 1.11
보리핏        : 1.11
보리심판관      : 1.09
보리커        : 1.09
소울뚜        : 1.1
보리뚜비       : 1.09
보리파        : 1.09
웨펀꾸꾸       : 1.09
지짱보        : 1.09
서큐버뚜       : 1.02
보리닉        : 1.09
인챈뚜        : 1.1
윈드꾸꾸       : 1.24
