보리성        : 19.71
보리뚜        : 20.62
보리세이더      : 7.05
보리빵떡       : 7.19
소울뚜        : 8.27
보리뚜비       : 20.52
보리뚜킥       : 23.29
보리핏        : 20.95
베인뚜        : 27.41
보리커        : 26.66
보리파        : 27.83
윈드꾸꾸       : 21.54
무녀뚜        : 33.91
웨펀꾸꾸       : 30.77
서큐버뚜       : 26.9
보리심판관      : 24.93
