보리성        : 0.41
보리뚜        : 0.52
보리세이더      : 0.48
베인뚜        : 0.46
보리빵떡       : 0.48
보리메이지      : 0.48
보리템플러      : 0.48
보리뚜뚜       : 0.51
무녀뚜        : 0.48
런처꾸꾸       : 0.46
보리술사       : 0.47
보리꾸꾸       : 0.48
보리뚜킥       : 0.48
건꾸꾸        : 0.48
보리핏        : 0.5
보리심판관      : 0.46
보리커        : 0.48
소울뚜        : 0.48
