보리성        : 7.28
보리뚜        : 20.92
보리빵떡       : 15.4
보리템플러      : 7.39
보리술사       : 27.15
런처꾸꾸       : 24.07
보리꾸꾸       : 21.86
보리뚜뚜       : 23.57
소울뚜        : 23.24
보리뚜비       : 35.45
보리뚜킥       : 22.99
보리핏        : 22.24
보리커        : 19.35
보리파        : 23.73
윈드꾸꾸       : 18.48
무녀뚜        : 34.13
웨펀꾸꾸       : 25.32
서큐버뚜       : 11.13
보리심판관      : 22.84
