보리성        : 18.15
보리세이더      : 18.12
베인뚜        : 17.07
보리빵떡       : 18.16
보리템플러      : 19.57
보리뚜뚜       : 19.98
무녀뚜        : 21.12
런처꾸꾸       : 19.0
보리술사       : 20.47
보리꾸꾸       : 18.5
보리뚜킥       : 21.42
건꾸꾸        : 24.31
지짱보        : 21.41
보리핏        : 19.49
보리심판관      : 19.06
윈드꾸꾸       : 20.69
보리커        : 19.37
소울뚜        : 19.98
보리뚜비       : 20.19
보리파        : 21.67
서큐버뚜       : 20.64
보리닉        : 28.19
인챈뚜        : 26.73
