보리뚜비       : 20.71
보리뚜킥       : 22.44
보리핏        : 23.8
보리커        : 20.59
윈드꾸꾸       : 20.53
보리파        : 24.82
웨펀꾸꾸       : 24.07
서큐버뚜       : 23.28
보리심판관      : 22.96
보리술사       : 28.0
런처꾸꾸       : 22.77
보리꾸꾸       : 20.99
소울뚜        : 22.77
베인뚜        : 1.51
보리성        : 20.3
보리뚜        : 22.07
보리세이더      : 21.29
보리빵떡       : 20.25
보리템플러      : 24.39
보리뚜뚜       : 7.61
무녀뚜        : 32.72
