보리뚜        : 16.1
보리세이더      : 19.96
베인뚜        : 7.19
보리빵떡       : 18.9
윈드꾸꾸       : 12.96
보리파        : 25.68
런처꾸꾸       : 22.31
보리꾸꾸       : 20.33
보리술사       : 24.64
소울뚜        : 22.02
보리심판관      : 13.81
보리뚜비       : 20.01
웨펀꾸꾸       : 24.39
서큐버뚜       : 23.38
지짱보        : 11.21
건꾸꾸        : 1.0
보리닉        : 0.91
