보리뚜비       : 4.76
보리파        : 18.69
웨펀꾸꾸       : 20.83
서큐버뚜       : 22.46
보리닉        : 26.96
인챈뚜        : 25.29
보리세이더      : 5.67
보리빵떡       : 16.99
보리템플러      : 5.73
보리뚜뚜       : 16.1
무녀뚜        : 19.19
런처꾸꾸       : 18.95
보리술사       : 18.61
보리꾸꾸       : 18.38
보리뚜킥       : 19.45
건꾸꾸        : 23.62
