보리성        : 5.84
보리뚜        : 6.35
보리세이더      : 6.49
베인뚜        : 6.16
보리빵떡       : 6.17
보리템플러      : 6.5
보리뚜뚜       : 20.63
보리뚜킥       : 20.97
보리핏        : 20.09
보리커        : 19.11
윈드꾸꾸       : 19.9
보리파        : 24.19
보리심판관      : 19.74
보리뚜비       : 18.89
웨펀꾸꾸       : 24.36
서큐버뚜       : 22.45
지짱보        : 31.06
건꾸꾸        : 36.81
