보리성        : 3.8
보리뚜        : 20.2
보리세이더      : 20.3
베인뚜        : 4.89
보리빵떡       : 19.31
보리템플러      : 20.51
보리뚜뚜       : 21.64
무녀뚜        : 27.72
보리뚜킥       : 22.67
보리핏        : 20.62
보리커        : 20.01
윈드꾸꾸       : 21.56
보리파        : 26.33
런처꾸꾸       : 22.63
보리꾸꾸       : 20.6
보리술사       : 25.46
소울뚜        : 21.04
보리심판관      : 22.32
보리뚜비       : 20.37
웨펀꾸꾸       : 25.12
서큐버뚜       : 22.37
지짱보        : 23.81
건꾸꾸        : 1.04
보리닉        : 1.01
