보리성        : 4.76
보리뚜        : 21.45
보리세이더      : 7.49
보리빵떡       : 7.85
보리템플러      : 21.34
보리뚜뚜       : 7.54
보리뚜킥       : 23.67
보리핏        : 22.96
베인뚜        : 21.48
보리뚜비       : 20.18
보리커        : 23.78
런처꾸꾸       : 23.32
보리꾸꾸       : 24.28
보리술사       : 33.74
소울뚜        : 22.19
웨펀꾸꾸       : 24.31
무녀뚜        : 38.59
보리파        : 11.38
서큐버뚜       : 2.02
윈드꾸꾸       : 22.28
보리심판관      : 1.92
