보리성        : 9.25
보리뚜        : 21.9
보리세이더      : 7.84
보리빵떡       : 20.87
보리템플러      : 7.66
보리술사       : 26.1
런처꾸꾸       : 24.41
보리꾸꾸       : 22.03
보리뚜뚜       : 24.04
소울뚜        : 22.77
보리뚜비       : 23.12
보리뚜킥       : 23.37
보리핏        : 23.13
베인뚜        : 22.41
보리커        : 22.69
보리파        : 25.19
윈드꾸꾸       : 24.19
무녀뚜        : 36.18
웨펀꾸꾸       : 24.43
서큐버뚜       : 15.94
보리심판관      : 26.94
