보리성        : 18.85
보리뚜        : 19.27
보리세이더      : 7.83
보리빵떡       : 6.92
보리템플러      : 19.68
보리뚜뚜       : 7.23
보리술사       : 23.72
런처꾸꾸       : 27.7
소울뚜        : 20.48
보리꾸꾸       : 21.53
보리뚜킥       : 9.95
보리파        : 25.14
보리커        : 21.43
보리뚜비       : 22.38
웨펀꾸꾸       : 22.94
보리심판관      : 29.4
무녀뚜        : 40.27
윈드꾸꾸       : 20.9
